content,notes,number
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Becoming a Pre-Professional

October 19, 2018","Thank you for and representation
The purpose of academy
Logistics, have to attend
Panos will say, we were once in your shoes, 
Chris: would have helped us bemore prepared
 ",0
"Todays Agenda
2
Connection
Reflective
Practice
Communication



Reflective
Practice
",,1
Introductions,"Kick off class survey
How many students are freshman, soph, junior, senior?
Whats the current comfort level with data analysis using the most common business software, Excel? Low, Med, Advanced
How many of you know what career you want to pursue? Yes / No (not sure)",2
"        About Us
Introductions
Wanyi Yang
Haverford College
Aesop Consulting & Academy
Grace Morris
Bryn Mawr College
Aesop Academy
Vaidehi Agarwalla
Haverford College
Aesop Consulting & Academy
Ben Forde
Haverford College
Aesop Consulting & Academy
4",BOTH,3
"Why Are We Doing This?



Passionate About Mentorship:
Disseminating a combined 17+ years of experience, lessons learned, & unique technical skills to advance your learning curve of BA fundamentals; giving you a head start on the job
Increasing Your Employment Odds:
Tighter hiring budgets and more specialized staffing make for an increasingly competitive private sector job market with certain professional / technical expectations from recent grads
Stronger Performance:
Mastering the business analysts technical skills will enable you to efficiently close out BA tasks from day 1 and exceed managements expectations; also, time-saved from already mastering the basics will open capacity to focus on next level functions for expedited promotions
Network Expansion:
Establishing a forum to connect with peers with common professional interests in order to share biz/tech knowledge, discuss opportunities, and eventually engage in bigger and better things that make a difference in organizations!
5","CHRIS

To the point of networking, I want you to take 5 minutes to turn to the person to your left and right, and introduce yourself...right now, what is your biggest concern / priority? (I dont feel prepared to enter the business world, I am intimated by the technical skills, I dont know what I want to do, etc). As you see, we all have that common ground....we have an area to work though and thats why we are here. To learn together, support from our peers, and grow. Who knows, you may be working side-by-side in the near future!  I always learned the most from my peers, not managers!",4
"A Qualitative Benchmark

Ratings of Impression 

Rating Details
On-Track
Adaptability and Potential to Succeed



Off-track
1
5
5.0


Adaptable Characteristics
Drive to Succeed and Learn
Off-track
On-Track
2.5

Breadth and Depth of Knowledge


1
5

Rigorous Academics
Multi-disciplinary Studies
Off-track
On-Track
Off-track
On-Track
3.0
On-Track

Identifying & Marketing Transferrable
Skills


Off-track
1
5
2.5

Defined Value-add
Marketing Skills Confidently
Aligning Learning to Pursuits
Industry
Knowledge



Off-track
On-Track
1
5
2.0

Limited Understanding of Preferred Industry 
Delayed Research
3.0
On-Track
On-Track
On-Track
On-Track
On-Track
Off-track
Off-track
Off-track
3.5

Having both the recruiting and former student perspective, we believe bi-co students have strengths in certain areas but room for growth in areas relating to industry knowledge and professionalism:
4.0

4.5


4.0

4.5

4.5

4.0
6",PANOS,5
"My Post-College Journey
It is good to have an end to journey towards; but it is the journey that matters, in the end

-Ernest Hemmingway
7",,6
"Post-College Journey
As a liberal arts student, I had internship experience in Financial Services but my initial career direction was very diverse as I was casting a wide net
Student
Masters
Global
Institutions
Finance / Banking
Think Tanks
Consulting


8",PANOS,7
"Post-College Journey
Senior year I was receiving interviews with a variety of employers and received an offer from an organization that later went through a resume dump / hiring freeze. So things turned sour
Student

Masters
Global
Institutions
Finance / Banking
Think Tanks
Consulting
Landscaping / Waiting 
Global
Institutions
Think Tanks
Consulting


2009 
Financial Crisis
2009
9",PANOS,8
"Post-College Journey
As I continued to network and build my professional toolkit, I worked as an unpaid temp in the US Treasury. Although unpaid, this was a great opportunity to grow and develop marketable skills (and show activity)
Student

Masters
Global
Institutions
Finance / Banking
Think Tanks
Consulting
Landscaping / Waiting Tables 
Global
Institutions
Temp at US Treasury


2009 
Financial Crisis
Financial Services
Federal
Sector
Defense
Pharma
Tech
2010
2009
10",PANOS,9
"Post-College Journey
Using my newly developed skills and real-world experience to my advantage, my network was able to comfortably vouch for my resume and experience to stand-out to recruiters
Student

Masters
Global
Institutions
Finance / Banking
Think Tanks
Consulting
Landscaping / Waiting Tables 
Global
Institutions
Temp at US Treasury


2009 
Financial Crisis
Financial Services
Pharma
Defense
Federal
Sector
Tech
2010 - 2012
2010
2009
11",PANOS,10
"Post-College Journey
After working hard to perform in one industry and build my brand internally, I was able to transition to the city / industry of my choice, which later opened up new career opportunities
Student

Finance / Banking
Consulting
Landscaping / Waiting Tables 
Global
Institutions
Temp at US Treasury


2009 
Financial Crisis
Financial Services
Pharma
Defense
Federal
Sector
Tech
2012 - 2014
2014 - 2015
2010
2009
2010 - 2012
12",PANOS,11
"Post-College Journey
After years of competitive corporate experience, I decided to take my trained skills and challenge myself in the entrepreneurial route going through a whole new learning curve
Student

Finance / Banking
Consulting
Landscaping / Waiting Tables 
Global
Institutions
Temp at US Treasury
2009 
Financial Crisis
Financial Services
Pharma
Defense
Federal
Sector
Tech
Entrepreneurship
& JP Morgan
2015 - 2018
2010
2009

13
",PANOS,12
"Defining Your Career Path
Exercise: Student Goal Template
14",PANOS,13
"Defining YOU through Research and Reflection
Indecisiveness is a significant challenge for liberal arts student. As liberal arts students, we study many topics but struggle with distinguishing our career focus or professional interests

Defining
YOU
Self-Reflection
Find the Alumn in the Organization
Connect with Professionals
Research Companies & Learn What They Do



15",CHRIS,14
"Getting Industry Informed, Early On
Where would you want to do it?
What do you want to do?
Determining Your 
Functional Areas of Interest
Defining Your
Industries of Interest
How do you plan to get there?
How do you plan to get there?
News
Magazines
Networking
Research
Publications
Academics
CoP
Academic Experience
Side Projects
Extracurriculars
Networking
Joining Competitions
Self-learning
PreProfessional Workbook
16",PANOS,15
"Defining Your Career Path  Student Goal Template
17",PANOS,16
"Defining Your Career Path
18
",PANOS,17
"Career Preparation during College
19",,18
"As a Freshman...
20
Read news about the outside world, think about what subjects interest you

Start thinking about what classes are interesting to you and envision yourself engaged in. How would those classes relate to your future?

Connect with different professionals, ask what they do, start casual conversation, coffee meet-ups are always a great way to network

Develop industry awareness beyond campus, get involved in communities or attend local events
Freshman
Sophomore
Junior
Senior
As a freshman, its about exploration and getting immersed in your academics / school activities. Remember, theres more exploration options than whats just on campus. ",CHRIS,19
"As a Sophomore...
Start drawing connections from your studies to the real-world (e.g. reading industry news, understanding what your companies of interest actually do)

Increase conversation levels with professionals. Imagine being in their shoes, do their experiences intrigue you? Is their work something you would enjoy?

Think about how to get to where you would envision yourself after graduation

Start searching for externships, internships, side projects and shadowing opportunities
Freshman
Sophomore
Junior
Senior
Sophomores should start drawing connections between academics and professionally-related interests. Begin molding yourself and your passions! 
21","CHRIS
",20
"As a Junior...
Perform well in classes that relate to your career trajectory, your major GPA and relevant coursework is important to recruiters or hiring managers

Start formal conversations with professionals, find your alumni mentors. Begin developing your professional etiquette and receiving development feedback

Have a well-structure and presentable resume ready to share, identify gaps and fill them with relevant extracurricular or new skills

Begin applications for internship opportunities, connect with alumni to get involved early on and put yourself on their radars

Start your self-analysis to reflect on what are the required skills and qualities for your dream job, and how to build those attributes by senior year
Freshman
Sophomore
Junior
Senior
Junior year is critical. You should have better direction of your career interests. Your courses should be professionally-relevant and begin to establish your professionalism etiquette.
22","PANOS

Bullet 5  Chris is going to speak to how to get involved early on and where you get start building those skills

How many of you have alumni mentors? What is an alumni mentor? ",21
"As a Senior...
Delivery-ready resume, well reviewed and improved by feedback from trusted mentors

High performer in key classes or activities related to your desired career track

Master professional etiquette (e.g. asking impressive questions)

Narrow industry focus for career search (THIS IS IMPORTANT)

Establish a strong network, get on radars

Earn an impactful internship experience or volunteer (part-time, winter break, summer)

Interview consistently, conduct practices with friends (business case / behavioral interviews). Reflect after each interview what you thought worked well and what didnt
Freshman
Sophomore
Junior
Senior
Seniors should have a presentable resume with key experiences, clear career direction with a demonstrated interest / knowledge of the industry. A network should be established as well.
23","PANOS

- Why we are saying this is important is because casting a wide fishing net only dilutes your chances....i think 2  3 routes is good, anything beyond that is too spread thin. ",22
"As a Senior...
Perfected resume

High performer in key classes or activities related to your desired career track

Master professional etiquette (e.g. asking impressive questions)

Narrow industry focus for career search (THIS IS IMPORTANT)

Establish a strong network

Earn an impactful internship experience (part-time, winter break, summer)

Interview consistently and practice business case / behavioral interviews. Reflect after each interview what you thought worked well and what didnt
Freshman
Sophomore
Junior
Senior
Seniors should have a perfected resume with key experiences, a clear career direction with a demonstrated interest / knowledge of the industry. A network should be established as well.
*Presentable Resume: A resume that is structured according to industry expectations (best practices) with all key activities described clearly and customized to the expected roles / qualifications of the position. 

Everyones content should be different, but the purpose is the same; 1 page to market yourself to an employer in the most effective manner possible
24","PANOS
",23
"How important are internships?









internship experience increases the interview rate by 14%.  
There is no evidence that business degrees improve employment prospects.

 By contrast, internship experience increases the interview rate by 14%. 
Did You Know?




","CHRIS

https://www.sciencedirect.com/science/article/abs/pii/S0927537115001207",24
"The Triangle of Success
Developing resiliency by learning from mistakes and committing to improving yourself throughout the process is the key recipe for earning the offer in your professional pursuit 



The


Offer
Persistence
Resilience
Professionalism
26","PANOS

Its never a straight path, people jump around, move, the only thing constant is change. Its the personal and professional qualities that you build and nurture along the way that continue to make you a desirable asset in the workplace or to new employers. Thats what opens doors for you to forge your own path.
",25
"Exercise: Pre-Professional Workbook
Review Pre-Professional Checklist Items 
Completing 3/6/9 Roadmap 
Populate Outreach Tracker
27
","PANOS to Kick OFF

CHRIS to add purpose points",26
"Overview of Business and Technical Roles 
28",,27
"Skills Sphere of a Modern Day Hybrid Professional
Excel
(Expert)


The blurred lines of business and technology
PPT Delivery
Access
SQL
SAS
R
STATA
Program Mgmt
Project Mgmt
Communications
Finance & Accounting
Process Flows
Python
C++
Git
Javascript
Ruby
SQL ETL
Mode
Qlik/Tableau
Presentations
(Expert)
Market Research
Facilitation
Storytelling
Audits
PHP
Technology Professional
Business Professional
Strategy

Software 
Dev
Database
Admin

Hybrid
29","PANOS  Business
CHRIS - Technical
",28
"How to Become Acclimated and Informed Early On


White Papers
CFA Institute
Wall Street Journal
Financial Times
Bloomberg
Inc.
eLetters (PSL)
Volunteer Work
Internships / Externships
Coursera
Microsoft Training Center
Chandoo.org
Case Competitions
Team Projects

Stackoverflow
Github
Lynda
CodeAcademy
Code.org
Pip, Node.js
Hackathons
Coursera
CoP
Signup
Online Trials
Self-practice
Coursework
EdX Excel Courses

Technology Professional
Business Professional
Hybrid
30","PANOS  Business
CHRIS - Technical
",29
"The Personality Characteristics of a Hybrid Analyst
Detail Oriented
Work Ethic
Quick Learner
Leader
Good Judgment
Intellectual Curiosity
Professionalism
Analytical/Problem Solver
Team-player
Challenge-seeker
Flexible
Adaptable to Change
Well rounded

Interpersonal
Eager to Learn
Logical Thinker
Self-motivated and Self-sufficient

Liberal Arts
31","PANOS

As liberal arts, we are already engrained in the gold, Its how we got into these schools. Its the rest that is up to you to learn and build",30
"A Lens into Corporate Structure
32",,31
"Provide strategic, operational, technological, and financial services to organizations (as employee or consultant). High level summary of services:
Conduct analysis to propose or develop executable strategies
Influence positive decisions, change, or identify efficiencies
Advance company by building and offering knowledge, skills, innovation, and advanced technical or business expertise

What Exactly Do They Do?
A Business Analysts Objectives
Learn from Peers  everyone has a talent/strength to share. Power from diversity.
Expect new experiences, and quick adjustments to learning curves
Manage change and ambiguity
Be flexible to challenges, requests, and opportunities
Collaborate work with others, regardless of their personality  its part of the experience
Entrepreneurial  no idea is a bad idea
Immerse yourself, get involved and be pro-active

Common BA Characteristics
33",PANOS,32
"Firm Structure
34",PANOS,33
"Gain broader exposure and experience

Deliver on challenging assignments
Learn the technical fundamentals
Understand and build the soft skills
Senior Consultant/Associate

Associate/Consultant

Analyst

Example of Staff Level Hierarchy
35

Building Broad 
Experience
ACADEMY",CHRIS,34
"Session Takeaways
Clarity on what are target goals to have at each stage of your college career
Understanding how to better define your route and what are the essential actions to start building your pre-professional track
Basic understanding of a corporate structure and business analyst functions / expectations
Informed of the different biz-tech skillsets and how they align to a employees function in an organization





= Complete




36",CHRIS,35
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466
Contacts
www.aesopba.com

37

Q & A",,36
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Recruiting Experience Preparation

October 19, 2018","Thank you for and representation
The purpose of academy
Logistics, have to attend
Panos will say, we were once in your shoes, 
Chris: would have helped us bemore prepared
 ",37
"Todays Agenda
39
Connection
Reflective
Practice
Communication



Reflective
Practice
",,38
Personal Branding & Marketing,,39
"Why is Personal Branding Important?
79% of employers Googled job seekers before inviting them in for an interview - IdealistCareers
Regardless of your age or professional stage, someone is screening you online. What they find can have major implications for your professional opportunities.

According to CareerBuilder:
""More than half of employers won't hire potential candidates without some sort of online presence today.""
Did You Know?
",CHRIS,40
"Managing Your Personal Brand
Your Tools
Intention
Industry Standard Representation of you
Influences Hiring Managers
Differentiating factor in Job Search
Resume Templates
Linkedin Profile
Outreach Emails Template
Exhibit Unique Value
Demonstrate Passions
Shows Professional Definition 
 
Mission statement
Elevator Pitch
Outreach Emails/Messages
Calls
Linkedin / Twitter Posting
Liking
Article Commenting
Sharing
Publications
Emphasizes Purpose / Passions
Establishes Presence
Additional channel for Growing Network
Authentically Echos Voice
Collateral
Outbound
Inbound",PANOS,41
"How to Build and Nurture your Brand
Building your brand is critical to developing an impactful impression and creating traction in your network. Social media is one source for marketing your brand, but most importantly you must identify your strengths and establish proof points to become recognizable",PANOS,42
"Stepping Stones to Building Your Brand

A

B

C
Create Resume
Create / Update Linkedin
Professional Photo
Mission Statement
Succinct Experience Blurbs
Other Highlights
Draft and Finalize
Mission Statement
Research Articles, 
Authors, Forums, Companies
Elevator Pitch
& Email Template
Get Active!
Outreach Campaign
Social Media Activity
Interviewing
Networking
Events Calendar

D",CHRIS,43
Creating a Resume,,44
